N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"79,700",400,-0.50%,100,"4,757,917","5,969,783",53.90,"15,947,820",20.75,9.99,
2,SK하이닉스,"118,500",0,0.00%,"5,000","862,683","728,002",48.99,"2,599,593",18.14,9.53,
3,LG화학,"858,000","4,000",+0.47%,"5,000","605,682","70,592",45.58,"107,990",131.01,2.93,
4,삼성전자우,"73,600",300,-0.41%,100,"605,645","822,887",76.93,"883,195",19.16,N/A,
5,삼성바이오로직스,"881,000","67,000",-7.07%,"2,500","582,914","66,165",10.36,"497,377",241.90,N/A,
6,NAVER,"343,500","1,000",+0.29%,100,"564,245","164,263",56.63,"397,081",56.34,15.22,
7,카카오,"111,000","2,000",+1.83%,100,"492,628","443,809",32.71,"1,438,202",312.68,2.70,
8,현대차,"228,500",500,-0.22%,"5,000","488,232","213,668",30.05,"734,433",44.43,2.04,
9,삼성SDI,"624,000","2,000",-0.32%,"5,000","429,091","68,765",42.44,"233,935",76.41,4.54,
10,셀트리온,"270,000",500,-0.18%,"1,000","371,799","137,703",20.66,"473,950",72.64,16.68,
11,기아,"82,100",500,-0.61%,"5,000","332,803","405,363",32.79,"1,573,884",22.37,5.05,
12,POSCO,"369,500","10,500",-2.76%,"5,000","322,155","87,187",54.92,"596,622",20.11,3.61,
13,현대모비스,"278,000","3,000",+1.09%,"5,000","263,525","94,793",37.22,"290,461",17.29,4.66,
14,삼성물산,"140,000",0,0.00%,100,"261,642","186,887",14.89,"619,188",25.60,3.81,
15,SK이노베이션,"275,500","6,500",+2.42%,"5,000","254,743","92,466",22.75,"828,721",-11.88,-13.58,
16,LG전자,"147,500","1,000",-0.67%,"5,000","241,381","163,648",30.41,"487,673",13.55,13.23,
17,KB금융,"57,900",300,+0.52%,"5,000","240,753","415,808",69.36,"944,286",6.97,8.53,
18,LG생활건강,"1,522,000","1,000",+0.07%,"5,000","237,709","15,618",45.77,"19,774",33.81,17.92,
19,SK텔레콤,"307,000","10,000",-3.15%,500,"221,225","72,060",44.70,"252,046",16.48,6.44,
20,LG,"126,500",0,0.00%,"5,000","218,285","172,557",34.67,0,15.18,7.50,
21,신한지주,"40,900",300,-0.73%,"5,000","211,289","516,600",60.71,"1,308,315",6.07,8.20,
22,SK,"267,500","2,500",-0.93%,200,"188,214","70,360",20.72,"122,382",100.19,1.11,
23,엔씨소프트,"817,000","14,000",-1.68%,500,"179,364","21,954",52.43,"72,429",30.54,20.83,
