복합유틸리티	해운사	기타금융	판매업체	출판	건축제품	사무용전자제품	레저용장비와제품	디스플레이장비및부품	기계	방송과엔터테인먼트	화학	전기유틸리티	교육서비스	가정용기기와용품	건축자재	컴퓨터와주변기기	전자장비와기기	문구류	통신장비	담배	핸드셋	반도체와반도체장비	건강관리기술	전기제품	양방향미디어와서비스	광고	독립전력생산및에너지거래	"호텔,레스토랑,레저"	"섬유,의류,신발,호화품"	IT서비스	게임엔터테인먼트	상업서비스와공급품	부동산	항공사	복합기업	기타	건강관리장비와용품	소프트웨어	건설	가정용품	가스유틸리티	운송인프라	전자제품	전기장비	화장품	다각화된통신서비스	에너지장비및서비스	생명보험	가구	제약	무선통신서비스	전문소매	생물공학	식품과기본식료품소매	손해보험	자동차부품	포장재	종이와목재	인터넷과카탈로그소매	항공화물운송과물류	백화점과일반상점	창업투자	우주항공과국방	식품	은행	도로와철도운송	석유와가스	증권	비철금속	음료	카드	생명과학도구및서비스	자동차	디스플레이패널	무역회사와판매업체	건강관리업체및서비스	조선	철강
KG ETS *	HMM 	대덕 	큐렉소 *	디앤씨미디어 *	금강공업 	신도리코 	삼천리자전거 *	실리콘웍스 *	대동기어 *	한국경제TV *	웹스 *	한전기술 	NE능률 *	신성델타테크 *	센트럴바이오 *	엔에스엔 *	대덕전자1우 	양지사 *	웨이브일렉트로 *	KT&G 	바이오로그디바이스 *	샘씨엔에스 *	이지케어텍 *	에스씨디 *	키다리스튜디오 	오리콤 *	에코바이오 *	참좋은여행 *	덕성 	이루온 *	액토즈소프트 *	나이스정보통신 *	케이탑리츠 	한진칼우 	두산 	에스케이씨에스 	바이오다인 *	엑셈 *	웰크론한텍 *	케이엠제약 *	지에스이 *	한국공항 	경인전자 	비나텍 *	리더스코스메틱 *	인스코비 	현대에너지솔루션 	한화생명 	에이스침대 *	KPX생명과학 *	와이어블 *	씨유메디칼 *	바이오솔루션 *	현대코퍼레이션홀딩스 	메리츠금융지주 	청보산업 *	원림 	무림SP *	엔에스쇼핑 	동방 	신세계 	나우IB *	오르비텍 *	사조대림 	제주은행 	동양고속 	이아이디 	NH투자증권 	삼보산업 *	진로발효 *	삼성카드 	얼라인드 *	KR모터스 	코텍 *	GS글로벌 	신테카바이오 *	동방선기 *	포스코엠텍 *
지역난방공사 	태웅로직스 *	대덕1우 	서울옥션 *	미스터블루 *	윈하이텍 *		ES큐브 *	엘엠에스 *	비에이치아이 *	CJ CGV 	와이오엠 *	한전KPS 	웅진씽크빅 	쿠쿠홈시스 	동양파일 *	푸른기술 *	동일기연 *	삼성출판사 	인텔리안테크 *		디자인 *	한국전자홀딩스 	케어랩스 *	엠플러스 *	아프리카TV *	와이즈버즈 *		하나투어 	형지엘리트 	신세계 I&C 	데브시스터즈 *	KTis 	해성산업 *	진에어 	웅진 	디피코 	셀바스헬스케어 *	포시에스 *	진흥기업우B 	메디앙스 *	서울가스 	토탈소프트 *	알로이스 *	보성파워텍 *	현대바이오 *	한국정보통신 *	지엔원에너지 *	미래에셋생명 	오하임아이엔티 *	CMG제약 *	신라섬유 *	씨앤티85 *	오리엔트바이오 	신송홀딩스 	흥국화재 	SJM 	한국팩키지 *	한솔PNS 	코리아센터 *	한솔로지스틱스 	JTC *	컴퍼니케이 *	이디티 *	한일사료 *	DGB금융지주 	레드캡투어 *	세원이앤씨 	유진투자증권 	대양금속 	하이트진로 		소마젠(Reg.S) *	쌍용차 	일진디스플 	현대코퍼레이션 	녹십자랩셀 *	일승 *	원일특강 *
	대한해운 	한국캐피탈 *	대명소노시즌 *	스포츠서울 *	금강공업우 		알톤스포츠 *	필옵틱스 *	에이비프로바이오 *	SBS 	코스모신소재 	한전산업 	이퓨쳐 *	자이글 *	서산 *	파커스 *	코리아써키트2우B 	모나미 	피피아이 *		엘컴텍 *	피에스케이홀딩스 *	솔본 *	에코프로비엠 *	줌인터넷 *	이엠넷 *		롯데관광개발 	코데즈컴바인 *	KG이니시스 *	한빛소프트 *	나이스디앤비 *	에이리츠 	제주항공 	두산우 	크로넥스 	휴비츠 *	이스트소프트 *	동신건설 *	모나리자 	예스코홀딩스 	맥쿼리인프라 	파인디지털 *	효성중공업 	제닉 *	KT 	에스에너지 *	한화 	한샘 	환인제약 	SK텔레콤 	도이치모터스 *	차바이오텍 *	네오크레마 *	현대해상 	대동금속 *	한국수출포장 	깨끗한나라우 	이상네트웍스 *	유수홀딩스 	세이브존I&C 	삼성스팩2호 *	퍼스텍 	정다운 *	상상인 *	유성티엔에스 *	미창석유 	부국증권우 	디씨엠 	국순당 *		마크로젠 *	엘브이엠씨홀딩스 	LG디스플레이 	LG상사 	서울리거 *	삼영이엔씨 *	부국철강 
	바다로19호 	메이슨캐피탈 *	YW *	디지틀조선 *	정산애강 *		골프존뉴딘홀딩스 *	상보 *	두산중공업 	YTN *	한화솔루션 	한국전력 	비상교육 	위니아딤채 *	한일시멘트 	잉크테크 *	매커스 *		라닉스 *		코렌 *	엔시트론 *	라이프시맨틱스 *	엔에스 *	카카오 	제일기획 		시공테크 *	경방 	미래테크놀로지 *	베스파 *	현대이지웰 *	한창 	티웨이홀딩스 	SK네트웍스우 	삼성 인버스 2X 천연가스 선물 ETN B 	미코바이오메드 *	마이더스AI *	유신 *	비비씨 *	E1 	현대무벡스 *	홈캐스트 *	제룡산업 *	씨큐브 *	세종텔레콤 *	서남 *	한화3우B 	코아스 	휴메딕스 *	LG유플러스 	롯데하이마트 	유바이오로직스 *	지어소프트 *	한화손해보험 	영화테크 *	삼화왕관 	페이퍼코리아 	예스24 *	현대글로비스 	광주신세계 	아주IB투자 *	제노코 *	신라교역 	신한지주 	천일고속 	에스아이리소스 *	KTB투자증권 	한창산업 *	창해에탄올 *		캔서롭 *	현대차우 	비덴트 *	STX 		상상인인더스트리 *	대동스틸 *
	팬오션 	리드코프 *	세우글로벌 	아시아경제 *	삼목에스폼 *		오로라 *	케이피에스 *	에너토크 *	삼화네트웍스 *	케이디켐 *		정상제이엘에스 *	쿠쿠홀딩스 	고려시멘트 *	딜리 *	이랜시스 *		유비쿼스 *		모베이스 *	오션브릿지 *	뷰노 *	신흥에스이씨 *	NAVER 	나스미디어 *		세중 *	백산 	에프앤가이드 *	베노홀딩스 *	인선이엔티 *	한국토지신탁 	대한항공우 	두산2우B 	QV S&P500 VIX S/T 선물 ETN C 	티앤엘 *	에스에스알 *	서한 *	태양 *	삼천리 	선광 *	휴맥스홀딩스 *	제룡전기 *	아우딘퓨쳐스 *		코드네이처 *	동양생명 	듀오백 *	휴온스 *			압타머사이언스 *	CJ프레시웨이 *	메리츠화재 	광진윈텍 *	율촌화학 	감성코퍼레이션 *	KTH *	한진 	BGF 	엠벤처투자 *	켄코아에어로스페이스 *	신라에스지 *	JB금융지주 	SK렌터카 	위즈코프 *	신영증권우 	파버나인 *	하이트진로2우B 		지더블유바이텍 *	현대차2우B 		포스코인터내셔널 		삼강엠앤티 *	동일제강 
	흥아해운 	우리종금 	쎌마테라퓨틱스 		다스코 		헝셩그룹 *	서울반도체 *	나라엠앤디 *	큐로홀딩스 *	동방아그로 		메가엠디 *	엔바이오니아 *	삼표시멘트 *	피씨디렉트 *	코리아써우 		RF머트리얼즈 *		나무가 *	아진엑스텍 *	비트컴퓨터 *	두산퓨얼셀 	플리토 *	이노션 		맘스터치 *	신성통상 	카페24 *	골프존 *	한국기업평가 *	이지스밸류리츠 	티웨이항공 	효성 	신한 인버스 2X 천연가스 선물 ETN 	루트로닉 *	플랜티넷 *	일진파워 *	삼정펄프 	대성홀딩스 		삼진 *	일진전기 	오가닉티코스메틱 *		SGC에너지 	삼성생명 	현대리바트 	대웅 			아미코젠 *	한국가구 *	삼성화재우 	화신 	락앤락 	무림페이퍼 	지유온 *	KCTC 	GS리테일 	린드먼아시아 *	하이즈항공 *	크라운제과 	우리금융지주 	AJ네트웍스 	SK이노베이션 	유화증권 	일진다이아 	하이트진로홀딩스우 		EDGC *	현대차3우B 				현진소재 *	신화실업 
	KSS해운 	푸른저축은행 *	슈펙스비앤피 *		제일테크노스 *		손오공 *	휘닉스소재 *	자비스 *	YG PLUS 	대유 *		메가스터디 *	오텍 *	라이온켐텍 *	한국정보공학 *	대덕전자 		아이크래프트 *		해성옵틱스 *	피에스엠씨 *	유비케어 *	대보마그네틱 *	THE E&M *	지투알 		디딤 *	크리스에프앤씨 *	아이티센 *	미투젠 *	사람인에이치알 *	이지스레지던스리츠 	예림당 *	SK 	TRUE 인버스 2X 천연가스 선물 ETN(H) 	젠큐릭스 *	비즈니스온 *	까뮤이앤씨 	TS트릴리온 *	한국가스공사 		TJ미디어 *	LS전선아시아 	에이블씨엔씨 		SDN *	한화우 	지누스 	콜마비앤에이치 *			셀리버리 *	보라티알 *	코리안리 	태양금속 	삼보판지 *	국일제지 *	포티스 *	세방우 	이마트 	교보10호스팩 *	아스트 *	현대사료 *	KB금융 		극동유화 	다우데이타 *	조선내화 	풍국주정 *		파나진 *	현대차 				에스앤더블류 *	제일제강 *
	하이골드3호 	CNH *	코오롱티슈진 *		프럼파스트 *		삼익악기 	포인트엔지니어링 *	한국테크놀로지 *	제이콘텐트리 	이엔에프테크놀로지 *		씨엠에스에듀 *	위닉스 *	아세아시멘트 	빅솔론 *	코나아이 *		빛샘전자 *		이즈미디어 *	인텍플러스 *	인피니트헬스케어 *	에스퓨얼셀 *	티사이언티픽 *	에코마케팅 *		파라다이스 *	윌비스 	DB 	넵튠 *	효성ITX 	제이알글로벌리츠 	한진칼 	LG우 	신한 S&P500 VIX S/T 선물 ETN C 	이오플로우 *	디지캡 *	금호건설 	블루베리 NFT *	경동도시가스 		팅크웨어 *	광명전기 	LG생활건강우 		윌링스 *		퍼시스 	한올바이오파마 			진원생명과학 	현대그린푸드 	롯데손해보험 	태양금속우 	삼륭물산 *	영풍제지 	GS홈쇼핑 *	CJ대한통운 	현대백화점 	교보9호스팩 *	빅텍 *	크라운제과우 	BNK금융지주 		SK디스커버리우 	부국증권 	풍산홀딩스 	무학 		켐온 *	기아 				삼성중공우 	CS홀딩스 
	하이골드12호 	우리금융캐피탈 			와토스코리아 *		이녹스 *	APS홀딩스 *	테라사이언스 *	IHQ 	진양산업 		디지털대성 *	유진로봇 *	성신양회 	씨아이테크 	S&K폴리텍 *		코맥스 *		이랜텍 *	유진테크 *	천랩 *	피엔티 *	자이언트스텝 *	엔비티 *		아난티 *	LF 	소프트센우 *	넷마블 	코엔텍 *	NH프라임리츠 	에어부산 	LG 	신한 인버스 2X 천연가스 선물 ETN(H) 	루트로닉3우C *	지니언스 *	HDC아이콘트롤스 		인천도시가스 		디엠티 *	피앤씨테크 *	아모레G3우(전환) 		파루 *		시디즈 	한국파마 *			바이오니아 *		흥국화재우 	에스엘 	대양제지 *	컨버즈 	다나와 *	삼일 *	롯데쇼핑 	에이치엠씨제5호스팩 *	샘코 *	서울식품 	기업은행 		SK이노베이션우 	SK증권 	태경산업 	하이트진로홀딩스 		노터스 *					삼성중공업 	만호제강 
	와이엔텍 *	글로벌텍스프리 *			초록뱀컴퍼니 *			SK머티리얼즈 *	에쎈테크 *	와이지엔터테인먼트 *	나노신소재 *		메가스터디교육 *	코웨이 	동양3우B 	에이텍티앤 *	카스 *		RFHIC *		나노스 *	마이크로컨텍솔 *	제이시스메디칼 *	뉴인텍 *	퓨쳐스트림네트웍스 *	SM C&C *		GKL 	아즈텍WB *	미래아이앤지 	위메이드 *	이크레더블 *	이리츠코크렙 	아시아나항공 	CJ우 	굿센 	메타바이오메드 *	한컴MDS *	진흥기업2우B 		SK가스 		휴맥스 *	선도전기 	토니모리 		제이씨케미칼 *		에넥스 	디에이치피코리아 *			휴젤 *		에이플러스에셋 	화승코퍼레이션 	대영포장 	한솔홀딩스 	아이에스이커머스 *	인터지스 	BGF리테일 	케이비제20호스팩 *	한화시스템 	대한제당우 	하나금융지주 		한국쉘석유 	유화증권우 	남선알미늄 	흥국에프엔비 *		일신바이오 *					케이에스피 *	유에스티 *
